county,year,irrigation,variable,stage,value
Burke,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,434.4396064
Burke,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,526.8594014
Burke,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,509.3018353
Burke,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2762.889004
Burke,2020,dryland,Accumulated-Days Degree,Emergence,75.361
Burke,2020,dryland,Accumulated-Days Degree,Vegetative,573.849
Burke,2020,dryland,Accumulated-Days Degree,Squaring,450.957
Burke,2020,dryland,Accumulated-Days Degree,Flowering,449.841
Burke,2020,dryland,Accumulated-Days Degree,Cut-Out,625.843
Burke,2020,dryland,Accumulated-Days Degree,Opening Bolls,379.028
Burke,2020,dryland,Accumulated-Days Degree,Total Growing Season,2554.879
Burke,2020,dryland,Accumulated-Precipitation (mm),Emergence,28.41
Burke,2020,dryland,Accumulated-Precipitation (mm),Vegetative,94.31
Burke,2020,dryland,Accumulated-Precipitation (mm),Squaring,75.53
Burke,2020,dryland,Accumulated-Precipitation (mm),Flowering,119.89
Burke,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,210.58
Burke,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,36.36
Burke,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,565.08
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,16.20666667
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.23378378
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.02458333
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,21.93708333
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,21.47628571
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,14.61371429
Burke,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.42310559
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,28.50833333
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.52972973
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,34.23708333
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,34.52833333
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,31.50657143
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,26.56
Burke,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.95248447
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,1855.498333
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2244.842432
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2649.011667
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2627.327083
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2569.002286
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1700.536571
Burke,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2299.740062
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,168.5184375
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,661.7344926
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,462.0587523
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,434.4517569
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,528.9191022
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,685.0283451
Screven,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2940.710887
Screven,2020,irrigated,Accumulated-Days Degree,Emergence,78.872
Screven,2020,irrigated,Accumulated-Days Degree,Vegetative,582.218
Screven,2020,irrigated,Accumulated-Days Degree,Squaring,441.895
Screven,2020,irrigated,Accumulated-Days Degree,Flowering,442.894
Screven,2020,irrigated,Accumulated-Days Degree,Cut-Out,618.717
Screven,2020,irrigated,Accumulated-Days Degree,Opening Bolls,643.822
Screven,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2808.418
Screven,2020,irrigated,Accumulated-Precipitation (mm),Emergence,0
Screven,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,176.13
Screven,2020,irrigated,Accumulated-Precipitation (mm),Squaring,77.31
Screven,2020,irrigated,Accumulated-Precipitation (mm),Flowering,65
Screven,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,120.72
Screven,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,131.87
Screven,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,571.03
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,12.33571429
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,19.61756757
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,22.51173913
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,22.50695652
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,22.08575758
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,16.61442308
Screven,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.65948571
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,28.25285714
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.35864865
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,33.90869565
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,34.66826087
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,32.70636364
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.27807692
Screven,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.83474286
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,1453.177143
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2297.242973
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2728.691304
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2727.844783
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2662.045455
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1940.16
Screven,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,2339.465029
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,93.41589845
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,639.3464276
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,447.9050394
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,399.5875138
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,651.9055046
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,646.6623806
Turner,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2878.822764
Turner,2020,dryland,Accumulated-Days Degree,Emergence,83.191
Turner,2020,dryland,Accumulated-Days Degree,Vegetative,573.101
Turner,2020,dryland,Accumulated-Days Degree,Squaring,439.348
Turner,2020,dryland,Accumulated-Days Degree,Flowering,444.846
Turner,2020,dryland,Accumulated-Days Degree,Cut-Out,632.105
Turner,2020,dryland,Accumulated-Days Degree,Opening Bolls,531.231
Turner,2020,dryland,Accumulated-Days Degree,Total Growing Season,2703.822
Turner,2020,dryland,Accumulated-Precipitation (mm),Emergence,5.26
Turner,2020,dryland,Accumulated-Precipitation (mm),Vegetative,121.54
Turner,2020,dryland,Accumulated-Precipitation (mm),Squaring,35.86
Turner,2020,dryland,Accumulated-Precipitation (mm),Flowering,121.8
Turner,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,186.87
Turner,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,97.74
Turner,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,569.07
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,19.786
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.69212121
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.33565217
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,21.85541667
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,18.73348837
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,12.15844828
Turner,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,17.90725806
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,30.41
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.6130303
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,33.95043478
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,32.79291667
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,28.9744186
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,24.38637931
Turner,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,29.15849462
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,2314.214
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2456.343636
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2700.11087
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2621.215417
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2227.336977
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1533.298621
Turner,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2163.166344
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,101.6954993
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,637.4513432
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,464.9207882
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,371.6188271
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,618.3380864
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,457.4841405
Toombs,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2651.508685
Toombs,2020,dryland,Accumulated-Days Degree,Emergence,80.185
Toombs,2020,dryland,Accumulated-Days Degree,Vegetative,577.398
Toombs,2020,dryland,Accumulated-Days Degree,Squaring,443.533
Toombs,2020,dryland,Accumulated-Days Degree,Flowering,446.781
Toombs,2020,dryland,Accumulated-Days Degree,Cut-Out,628.799
Toombs,2020,dryland,Accumulated-Days Degree,Opening Bolls,490.152
Toombs,2020,dryland,Accumulated-Days Degree,Total Growing Season,2666.848
Toombs,2020,dryland,Accumulated-Precipitation (mm),Emergence,6.52
Toombs,2020,dryland,Accumulated-Precipitation (mm),Vegetative,151.97
Toombs,2020,dryland,Accumulated-Precipitation (mm),Squaring,20.67
Toombs,2020,dryland,Accumulated-Precipitation (mm),Flowering,241.82
Toombs,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,110.75
Toombs,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,90.8
Toombs,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,622.53
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,18.93
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.97727273
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.53782609
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,21.98708333
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,19.23341463
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,15.85225
Toombs,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.61216867
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,30.884
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.97969697
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,34.81565217
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,33.01625
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,29.56073171
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,27.14275
Toombs,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.72650602
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,2203.992
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2498.922121
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2732.901304
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2642.7425
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2297.690488
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1878.48325
Toombs,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2344.045663
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,60.0974582
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,667.8285932
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,447.0257451
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,382.5048523
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,635.5103502
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,447.4576004
BenHill,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2640.424599
BenHill,2020,dryland,Accumulated-Days Degree,Emergence,69.341
BenHill,2020,dryland,Accumulated-Days Degree,Vegetative,596.617
BenHill,2020,dryland,Accumulated-Days Degree,Squaring,436.999
BenHill,2020,dryland,Accumulated-Days Degree,Flowering,448.383
BenHill,2020,dryland,Accumulated-Days Degree,Cut-Out,620.343
BenHill,2020,dryland,Accumulated-Days Degree,Opening Bolls,453.556
BenHill,2020,dryland,Accumulated-Days Degree,Total Growing Season,2625.239
BenHill,2020,dryland,Accumulated-Precipitation (mm),Emergence,20.24
BenHill,2020,dryland,Accumulated-Precipitation (mm),Vegetative,124.45
BenHill,2020,dryland,Accumulated-Precipitation (mm),Squaring,34.16
BenHill,2020,dryland,Accumulated-Precipitation (mm),Flowering,124.62
BenHill,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,139.12
BenHill,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,95.6
BenHill,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,538.19
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,20.98
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.83411765
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,22.22217391
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,22.03416667
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,18.7197619
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,15.03358974
BenHill,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,19.30572289
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,29.92
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.95147059
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,34.25130435
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,32.77833333
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,29.04285714
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,26.64282051
BenHill,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,30.35759036
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,2485.9775
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2478.962647
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2681.378261
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2650.255417
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,2222.435238
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1790.873077
BenHill,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2305.378313
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,86.13437352
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,622.1728273
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,448.7524145
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,413.251886
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,648.8563516
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,824.823653
Early,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,3043.991506
Early,2020,irrigated,Accumulated-Days Degree,Emergence,84.397
Early,2020,irrigated,Accumulated-Days Degree,Vegetative,571.338
Early,2020,irrigated,Accumulated-Days Degree,Squaring,438.376
Early,2020,irrigated,Accumulated-Days Degree,Flowering,444.18
Early,2020,irrigated,Accumulated-Days Degree,Cut-Out,644.663
Early,2020,irrigated,Accumulated-Days Degree,Opening Bolls,599.529
Early,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2782.483
Early,2020,irrigated,Accumulated-Precipitation (mm),Emergence,6.56
Early,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,91.69
Early,2020,irrigated,Accumulated-Precipitation (mm),Squaring,44.16
Early,2020,irrigated,Accumulated-Precipitation (mm),Flowering,156.48
Early,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,247.97
Early,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,224.59
Early,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,771.45
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,20.492
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,21.0990625
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,22.28869565
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,21.92916667
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,19.20488372
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,10.39727273
Early,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,16.87730392
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,30.056
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.8959375
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,33.86869565
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,33.12541667
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,29.01069767
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,22.75896104
Early,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,28.16098039
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,2411.138
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2518.416875
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2665.451739
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2583.597083
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2296.174186
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1392.898052
Early,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,2068.359755
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,105.2730094
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,642.5689904
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,467.322451
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,411.0270941
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,645.6356311
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,873.6688456
Bulloch,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,3145.496022
Bulloch,2020,irrigated,Accumulated-Days Degree,Emergence,75.991
Bulloch,2020,irrigated,Accumulated-Days Degree,Vegetative,572.16
Bulloch,2020,irrigated,Accumulated-Days Degree,Squaring,443.173
Bulloch,2020,irrigated,Accumulated-Days Degree,Flowering,459.839
Bulloch,2020,irrigated,Accumulated-Days Degree,Cut-Out,619.146
Bulloch,2020,irrigated,Accumulated-Days Degree,Opening Bolls,602.316
Bulloch,2020,irrigated,Accumulated-Days Degree,Total Growing Season,2772.625
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Emergence,6.33
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Vegetative,149.43
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Squaring,17.18
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Flowering,158.54
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Cut-Out,109.63
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Opening Bolls,170.4
Bulloch,2020,irrigated,Accumulated-Precipitation (mm),Total Growing Season,611.51
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Emergence,18.102
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Vegetative,20.92151515
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Squaring,22.52043478
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Flowering,21.7548
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Cut-Out,18.66357143
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,9.186823529
Bulloch,2020,irrigated,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,15.99769953
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Emergence,30.762
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Vegetative,31.88333333
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Squaring,34.82
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Flowering,32.9124
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Cut-Out,29.22047619
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,21.89023529
Bulloch,2020,irrigated,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,27.78197183
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Emergence,2085.134
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Vegetative,2490.602424
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Squaring,2729.01913
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Flowering,2606.4748
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Cut-Out,2222.892857
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Opening Bolls,1298.407765
Bulloch,2020,irrigated,Mean-Vapor Pressure (Pa),Total Growing Season,1991.882723
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Emergence,88.18486094
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Vegetative,756.9701487
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Squaring,511.8967673
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Flowering,420.0813359
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Cut-Out,830.3555525
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Opening Bolls,292.6406377
Oconee,2020,dryland,Accumulated-Solar Radiation (MJ/m2),Total Growing Season,2900.129303
Oconee,2020,dryland,Accumulated-Days Degree,Emergence,81.422
Oconee,2020,dryland,Accumulated-Days Degree,Vegetative,570.259
Oconee,2020,dryland,Accumulated-Days Degree,Squaring,452.972
Oconee,2020,dryland,Accumulated-Days Degree,Flowering,441.667
Oconee,2020,dryland,Accumulated-Days Degree,Cut-Out,631.317
Oconee,2020,dryland,Accumulated-Days Degree,Opening Bolls,196.645
Oconee,2020,dryland,Accumulated-Days Degree,Total Growing Season,2374.282
Oconee,2020,dryland,Accumulated-Precipitation (mm),Emergence,21.16
Oconee,2020,dryland,Accumulated-Precipitation (mm),Vegetative,127.32
Oconee,2020,dryland,Accumulated-Precipitation (mm),Squaring,47.04
Oconee,2020,dryland,Accumulated-Precipitation (mm),Flowering,210.36
Oconee,2020,dryland,Accumulated-Precipitation (mm),Cut-Out,216.44
Oconee,2020,dryland,Accumulated-Precipitation (mm),Opening Bolls,81.52
Oconee,2020,dryland,Accumulated-Precipitation (mm),Total Growing Season,703.84
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Emergence,18.72
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Vegetative,18.87162162
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Squaring,21.2432
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Flowering,20.37038462
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Cut-Out,15.49618182
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Opening Bolls,10.41586207
Oconee,2020,dryland,Mean-Minimum Temperature (Celcius Degree),Total Growing Season,16.99792135
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Emergence,27.53666667
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Vegetative,30.23135135
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Squaring,33.9708
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Flowering,31.68538462
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Cut-Out,26.57890909
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Opening Bolls,22.53551724
Oconee,2020,dryland,Mean-Maximum Temperature (Celcius Degree),Total Growing Season,28.49573034
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Emergence,2166.716667
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Vegetative,2199.86027
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Squaring,2527.2572
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Flowering,2395.472692
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Cut-Out,1838.659091
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Opening Bolls,1359.188276
Oconee,2020,dryland,Mean-Vapor Pressure (Pa),Total Growing Season,2024.727865
Worth,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Emergence,66.30107106
Worth,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Vegetative,668.4094113
Worth,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Squaring,450.5594277
Worth,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Flowering,425.4050074
Worth,2020,irrigated,Accumulated-Solar Radiation (MJ/m2),Cut-Out,546.2796468
